sales_id,lastSaleDate,lastSalePrice
0,unknown,
118,1984-10-02T00:00:00.000Z,71500.0
119,2000-10-23T00:00:00.000Z,123490.0
120,2017-03-14T00:00:00.000Z,165000.0
121,2000-02-07T00:00:00.000Z,205000.0
122,2000-12-06T00:00:00.000Z,380000.0
123,2022-11-17T00:00:00.000Z,325000.0
124,2020-03-26T00:00:00.000Z,327000.0
125,2019-01-29T00:00:00.000Z,245000.0
126,2020-12-02T00:00:00.000Z,387000.0
127,2011-11-30T00:00:00.000Z,170000.0
128,2022-04-29T00:00:00.000Z,1850000.0
129,2019-05-02T00:00:00.000Z,
130,2014-07-31T00:00:00.000Z,95000.0
131,2003-02-07T00:00:00.000Z,520000.0
132,2014-01-02T00:00:00.000Z,495143.0
133,2012-05-21T00:00:00.000Z,170000.0
134,2018-05-31T00:00:00.000Z,563000.0
135,2021-08-13T00:00:00.000Z,325000.0
136,2017-04-26T00:00:00.000Z,256000.0
137,2023-04-05T00:00:00.000Z,334900.0
138,2021-04-05T00:00:00.000Z,
139,2021-11-02T00:00:00.000Z,282000.0
140,2009-04-24T00:00:00.000Z,260000.0
141,2016-08-16T00:00:00.000Z,173000.0
142,2022-01-19T00:00:00.000Z,175000.0
143,2020-01-16T00:00:00.000Z,400000.0
144,2005-03-16T00:00:00.000Z,275000.0
145,2013-07-11T00:00:00.000Z,
146,2021-08-30T00:00:00.000Z,
147,2018-06-19T00:00:00.000Z,414000.0
148,2022-02-11T00:00:00.000Z,402500.0
149,2016-09-13T00:00:00.000Z,293820.0
150,2018-09-05T00:00:00.000Z,490000.0
151,2011-05-09T00:00:00.000Z,84000.0
152,2002-06-04T00:00:00.000Z,117000.0
153,2021-04-19T00:00:00.000Z,132000.0
154,2001-08-22T00:00:00.000Z,185500.0
155,2011-09-28T00:00:00.000Z,550000.0
156,2012-03-30T00:00:00.000Z,
157,2021-10-06T00:00:00.000Z,163000.0
158,2006-02-10T00:00:00.000Z,261000.0
159,2015-07-24T00:00:00.000Z,
160,2020-03-31T00:00:00.000Z,
161,2007-09-24T00:00:00.000Z,247000.0
162,2024-03-18T00:00:00.000Z,410000.0
163,2008-08-08T00:00:00.000Z,
164,2023-08-04T00:00:00.000Z,234400.0
165,2015-12-17T00:00:00.000Z,
166,2015-07-23T00:00:00.000Z,575000.0
167,2011-05-18T00:00:00.000Z,30000.0
168,2005-12-02T00:00:00.000Z,210000.0
169,2015-04-02T00:00:00.000Z,890000.0
170,2018-08-09T00:00:00.000Z,507500.0
171,2012-08-16T00:00:00.000Z,159990.0
172,2001-07-30T00:00:00.000Z,
173,2009-03-26T00:00:00.000Z,112000.0
174,2022-03-31T00:00:00.000Z,760007.0
175,2005-01-06T00:00:00.000Z,272000.0
176,2008-01-31T00:00:00.000Z,94500.0
177,1981-01-01T00:00:00.000Z,66500.0
178,2021-04-15T00:00:00.000Z,589900.0
